id;service_estimate_id;category_name;category_item_id;item_name;item_code;specifications;buy_back_yn;entry_order;denomination_type;quantity;value_of_service;extend_of_contract;bidding_unit;estimate_unit_rate;estimate_item_price
1;17047;Architect;55528;Views;Nepal Sleek Facilitator;silver Concrete Handmade;true;18339;Buckinghamshire neural-net;57565;5407;43371;54009;69511;42829
2;50398;De-engineered Account Executive;64929;Plastic;Soft;database Gardens invoice;false;50306;invoice infomediaries strategic;22153;85752;75583;43793;97806;11602
3;75103;budgetary input Internal;31938;real-time Account neural;Handcrafted Court;Summit Handcrafted;true;84129;protocol Account;55441;56956;47166;78617;36452;80447
4;48260;Locks Metal;57647;cutting-edge;expedite withdrawal;Grocery;false;36287;Gorgeous;19769;52073;88567;19995;10183;14135
5;59284;EXE cross-platform user-facing;40870;Global Pound;Cheese;Hills;false;42333;USB Granite;72353;14222;52034;65599;80253;22131
6;10235;Bacon quantifying;24989;Small Strategist Architect;Regional Account;Account synergy;false;14901;synthesizing Peso;81081;21963;4618;80480;34692;75514
7;76718;JBOD tangible;21563;capacity Customer Producer;Developer Response;Unbranded Chief;true;53168;Pitcairn;81202;4360;93341;87874;45922;71745
8;27761;Plaza;55422;ivory;Orchestrator Ball;AI quantifying;false;6789;Bedfordshire user Handcrafted;43788;33333;73033;88595;21045;67026
9;80263;transmit Gorgeous deposit;89447;synthesizing;productivity;circuit pixel yellow;true;6449;payment Hat Zealand;60516;35653;6753;99295;95821;44632
10;3363;Granite Buckinghamshire port;45703;Sports Expanded Rubber;throughput payment Inverse;bypassing Agent generate;true;76494;Carolina XML;71769;32336;33015;92923;20819;21064
