id;nit_id;document_type;document_name;optional
1;55854;Baby;Bike eco-centric;true
2;55878;encompassing Belarus;Montana;false
3;25714;Dollar utilize;directional;true
4;47953;Response Account Forward;Investment navigating Granite;false
5;49205;infrastructures;Soap;true
6;38536;quantify Buckinghamshire;models SCSI Tennessee;false
7;86005;granular;Rubber Metal;false
8;55695;Savings Account Account;invoice;true
9;40143;Tugrik Money 1080p;Cambridgeshire Account Bahamian;false
10;49881;generate Metal;Loan Chips;false
