id;nit_id;description;criterion_category;is_user_added
1;77529;Seamless;monitor;false
2;96593;Tools;Compatible;true
3;75546;Dobra Soap Fully-configurable;Aruba Handcrafted Dynamic;true
4;75124;Granite deposit;generating Concrete;true
5;68373;calculating;withdrawal Intelligent executive;true
6;80632;facilitate Generic;redundant olive invoice;true
7;26196;Frozen Forint;client-driven;true
8;99593;compress;parsing;true
9;78446;installation Austria;Berkshire;true
10;83102;SMTP Metrics;microchip Central;true
