id;nit_id;tender_technical_criterion_id;document_type;document_name;optional
1;26649;27999;Sports;flexibility Senior;true
2;14217;8170;synergies scale parsing;world-class haptic;true
3;39302;85994;function Future;bypass Gorgeous quantifying;true
4;2722;34457;Generic Administrator;Berkshire streamline;true
5;59057;70927;Assistant;24/7 indexing Berkshire;true
6;25005;5551;back-end Games Division;Missouri compelling;true
7;4016;94801;deposit Tunnel;Avon copying;true
8;82964;35753;solid;Program;true
9;54540;36229;portals Iowa;Nebraska Virtual;true
10;21568;25926;encompassing Glens;compelling digital;false
