id;nit_id;description;criterion_category;is_user_added
1;60814;International calculate;bypassing blue Dynamic;true
2;97620;Ohio;black payment;true
3;50084;Tuvalu deposit;matrix Fresh;false
4;64520;Generic Configuration Data;invoice Robust payment;false
5;67368;Refined Nigeria Administrator;driver;false
6;68486;Coordinator;Computer;false
7;43466;channels;Cape;false
8;99089;set Dynamic;Mountain;false
9;69758;Concrete ADP;hacking Supervisor withdrawal;false
10;3767;Hat Lek;customized Administrator Proactive;false
