id;nit_id;tender_technical_criterion_id;document_type;document_name;optional
1;78325;40412;Human Open-source;scalable Automotive Dakota;true
2;4398;25044;red incentivize;maroon orange;false
3;77023;29306;partnerships;Massachusetts Berkshire;true
4;5381;33015;Home generate;Beauty e-services;true
5;22958;52973;blue;reinvent Multi-layered;true
6;68688;71381;Multi-layered;Lilangeni;false
7;77263;35777;overriding Plastic context-sensitive;orchestrate orchestrate;true
8;36911;30215;Dominican proactive FTP;sky didactic;false
9;95423;42449;deposit Configuration;Shirt primary Product;true
10;33767;47687;orchestration help-desk panel;solution-oriented;false
